match_id,match_number,commence_time,team,opponent,p_win,p_draw,p_loss,team_xg,opponent_xg,expected_total_goals,bookmaker_count
66ebb9e3f949caded535d97ce686ca09,25,2026-06-18T16:00:00Z,Czechia,South Africa,0.480529677283497,0.2864358318936244,0.2330344908228785,1.429888528343241,0.9296634986258037,2.3595520269690446,18
66ebb9e3f949caded535d97ce686ca09,25,2026-06-18T16:00:00Z,South Africa,Czechia,0.2330344908228785,0.2864358318936244,0.480529677283497,0.9296634986258037,1.429888528343241,2.3595520269690446,18
289bc2e9f5adad8ae4d9a75a7c5461ad,26,2026-06-18T19:00:00Z,Bosnia & Herzegovina,Switzerland,0.16511825797578808,0.24070797258666968,0.5941737694375422,0.8175493406525871,1.7533605356134108,2.570909876265998,18
289bc2e9f5adad8ae4d9a75a7c5461ad,26,2026-06-18T19:00:00Z,Switzerland,Bosnia & Herzegovina,0.5941737694375422,0.24070797258666968,0.16511825797578808,1.7533605356134108,0.8175493406525871,2.570909876265998,18
fa9502285b257b03e62968d50d9229fc,27,2026-06-18T22:00:00Z,Canada,Qatar,0.7277448371556186,0.18399154435551576,0.08826361848886571,2.0969661099516297,0.5811515272790593,2.678117637230689,18
fa9502285b257b03e62968d50d9229fc,27,2026-06-18T22:00:00Z,Qatar,Canada,0.08826361848886571,0.18399154435551576,0.7277448371556186,0.5811515272790593,2.0969661099516297,2.678117637230689,18
0f2aeae6ac8e77223848d23a4ca86b0d,28,2026-06-19T01:00:00Z,Mexico,South Korea,0.5249865575677853,0.2697263811104312,0.20528706132178356,1.531793075850418,0.8691365101220239,2.4009295859724418,18
0f2aeae6ac8e77223848d23a4ca86b0d,28,2026-06-19T01:00:00Z,South Korea,Mexico,0.20528706132178356,0.2697263811104312,0.5249865575677853,0.8691365101220239,1.531793075850418,2.4009295859724418,18
065b3573e875f8d23803357f73e5b99e,29,2026-06-19T19:00:00Z,Australia,USA,0.20821524685189366,0.2518957396324816,0.5398890135156248,0.9045155923461603,1.6150264476152894,2.5195420399614497,18
065b3573e875f8d23803357f73e5b99e,29,2026-06-19T19:00:00Z,USA,Australia,0.5398890135156248,0.2518957396324816,0.20821524685189366,1.6150264476152894,0.9045155923461603,2.5195420399614497,18
4cd769aa7bae0ad9762bd69b80ef2903,30,2026-06-19T22:00:00Z,Morocco,Scotland,0.47980023720804493,0.28778827729260775,0.23241148549934737,1.4198449841901901,0.9192736059089698,2.33911859009916,18
4cd769aa7bae0ad9762bd69b80ef2903,30,2026-06-19T22:00:00Z,Scotland,Morocco,0.23241148549934737,0.28778827729260775,0.47980023720804493,0.9192736059089698,1.4198449841901901,2.33911859009916,18
ef0f74a991d3e35798ae5af77667bce1,31,2026-06-20T01:00:00Z,Brazil,Haiti,0.8842829799872892,0.0803862524954406,0.03533076751727025,3.2834738860145705,0.5523600929744137,3.835833978988984,17
ef0f74a991d3e35798ae5af77667bce1,31,2026-06-20T01:00:00Z,Haiti,Brazil,0.03533076751727025,0.0803862524954406,0.8842829799872892,0.5523600929744137,3.2834738860145705,3.835833978988984,17
f955d4b3395ce6e3b5ac1031ca52ca4e,32,2026-06-20T03:00:00Z,Paraguay,Türkiye,0.27984308895831367,0.2979596917752823,0.4221972192664041,1.0267692177137708,1.3121128271923133,2.338882044906084,17
f955d4b3395ce6e3b5ac1031ca52ca4e,32,2026-06-20T03:00:00Z,Türkiye,Paraguay,0.4221972192664041,0.2979596917752823,0.27984308895831367,1.3121128271923133,1.0267692177137708,2.338882044906084,17
4f0c518545b0096c68326daf25bffc1e,33,2026-06-20T17:00:00Z,Netherlands,Sweden,0.5746745075579929,0.24078654094145768,0.1845389515005494,1.7648747166203078,0.9051324189626087,2.6700071355829165,17
4f0c518545b0096c68326daf25bffc1e,33,2026-06-20T17:00:00Z,Sweden,Netherlands,0.1845389515005494,0.24078654094145768,0.5746745075579929,0.9051324189626087,1.7648747166203078,2.6700071355829165,17
f1ab0f69832972a329243522ceaa7804,34,2026-06-20T20:00:00Z,Germany,Ivory Coast,0.6115161942562863,0.22315335972325792,0.1653304460204558,1.9069478006885847,0.8891633440160847,2.7961111447046694,17
f1ab0f69832972a329243522ceaa7804,34,2026-06-20T20:00:00Z,Ivory Coast,Germany,0.1653304460204558,0.22315335972325792,0.6115161942562863,0.8891633440160847,1.9069478006885847,2.7961111447046694,17
681895f294b670b4c7b14495dfb583bc,35,2026-06-21T00:00:00Z,Curaçao,Ecuador,0.06663217952531686,0.14454711160595665,0.7888207088687265,0.5455777784932034,2.4195188437524657,2.965096622245669,17
681895f294b670b4c7b14495dfb583bc,35,2026-06-21T00:00:00Z,Ecuador,Curaçao,0.7888207088687265,0.14454711160595665,0.06663217952531686,2.4195188437524657,0.5455777784932034,2.965096622245669,17
dfc5202cf1b8ae002cf952cd04f235b9,36,2026-06-21T04:00:00Z,Japan,Tunisia,0.547592514500157,0.26808552884500914,0.18432195665483392,1.5692447239353835,0.8156256771822207,2.3848704011176043,17
dfc5202cf1b8ae002cf952cd04f235b9,36,2026-06-21T04:00:00Z,Tunisia,Japan,0.18432195665483392,0.26808552884500914,0.547592514500157,0.8156256771822207,1.5692447239353835,2.3848704011176043,17
73529a242e319a86bf3d00ddb4accc37,37,2026-06-21T16:00:00Z,Saudi Arabia,Spain,0.04129207294166933,0.10126080692281188,0.8574471201355188,0.4545331960271044,2.8154897969736465,3.270022993000751,17
73529a242e319a86bf3d00ddb4accc37,37,2026-06-21T16:00:00Z,Spain,Saudi Arabia,0.8574471201355188,0.10126080692281188,0.04129207294166933,2.8154897969736465,0.4545331960271044,3.270022993000751,17
5f92f257386ec5bf7c6e2498a21f3a61,38,2026-06-21T19:00:00Z,Belgium,Iran,0.6748726261270035,0.20661049376358354,0.11851688010941294,1.984569502083884,0.704549064425444,2.689118566509328,17
5f92f257386ec5bf7c6e2498a21f3a61,38,2026-06-21T19:00:00Z,Iran,Belgium,0.11851688010941294,0.20661049376358354,0.6748726261270035,0.704549064425444,1.984569502083884,2.689118566509328,17
852a3abe6d46820720febc0fedebff9a,39,2026-06-21T22:00:00Z,Cape Verde,Uruguay,0.12926667645712794,0.2154301601498488,0.6553031633930232,0.7287133710884981,1.9211534328696769,2.649866803958175,17
852a3abe6d46820720febc0fedebff9a,39,2026-06-21T22:00:00Z,Uruguay,Cape Verde,0.6553031633930232,0.2154301601498488,0.12926667645712794,1.9211534328696769,0.7287133710884981,2.649866803958175,17
c1ec9a65f4b4cf74477b368a7d6282de,40,2026-06-22T01:00:00Z,Egypt,New Zealand,0.5423779801635549,0.2633712243976411,0.19425079543880414,1.5737494581720874,0.8474035544003546,2.421153012572442,17
c1ec9a65f4b4cf74477b368a7d6282de,40,2026-06-22T01:00:00Z,New Zealand,Egypt,0.19425079543880414,0.2633712243976411,0.5423779801635549,0.8474035544003546,1.5737494581720874,2.421153012572442,17
be6c63f416c67bca1300a98f5b89c3af,41,2026-06-22T17:00:00Z,Argentina,Austria,0.5698214972302156,0.2516067308809668,0.17857177188881762,1.7362409358905415,0.8864795110740227,2.622720446964564,17
be6c63f416c67bca1300a98f5b89c3af,41,2026-06-22T17:00:00Z,Austria,Argentina,0.17857177188881762,0.2516067308809668,0.5698214972302156,0.8864795110740227,1.7362409358905415,2.622720446964564,17
7ad7a0ce2ef2618bb59b066da5642f70,42,2026-06-22T21:00:00Z,France,Iraq,0.8468568001858987,0.11090869217761126,0.04223450763649002,2.7795195440506384,0.49050344895011255,3.270022993000751,17
7ad7a0ce2ef2618bb59b066da5642f70,42,2026-06-22T21:00:00Z,Iraq,France,0.04223450763649002,0.11090869217761126,0.8468568001858987,0.49050344895011255,2.7795195440506384,3.270022993000751,17
3f48473742ca0fd2a85930554720c75e,43,2026-06-23T00:00:00Z,Norway,Senegal,0.4397635268894304,0.27703159070108685,0.28320488240948277,1.4743857945059984,1.14441668241407,2.6188024769200684,17
3f48473742ca0fd2a85930554720c75e,43,2026-06-23T00:00:00Z,Senegal,Norway,0.28320488240948277,0.27703159070108685,0.4397635268894304,1.14441668241407,1.4743857945059984,2.6188024769200684,17
fd8533b650e655030f6a7946f8795db2,44,2026-06-23T03:00:00Z,Algeria,Jordan,0.6205025695025113,0.2298019426812853,0.14969548781620348,1.856023183980311,0.8030358188568107,2.6590590028371217,17
fd8533b650e655030f6a7946f8795db2,44,2026-06-23T03:00:00Z,Jordan,Algeria,0.14969548781620348,0.2298019426812853,0.6205025695025113,0.8030358188568107,1.856023183980311,2.6590590028371217,17
8ba93d190f1f934e33862a97a6353a6e,45,2026-06-23T17:00:00Z,Portugal,Uzbekistan,0.7568934681552908,0.15864084381221066,0.08446568803249857,2.468527954841754,0.720784648312967,3.189312603154721,17
8ba93d190f1f934e33862a97a6353a6e,45,2026-06-23T17:00:00Z,Uzbekistan,Portugal,0.08446568803249857,0.15864084381221066,0.7568934681552908,0.720784648312967,2.468527954841754,3.189312603154721,17
2f49dd8deae3079dc4eb2d634d18a99c,46,2026-06-23T20:00:00Z,England,Ghana,0.7153473622388455,0.18303965076651652,0.10161298699463796,2.2100350017059656,0.7132917201273221,2.9233267218332877,17
2f49dd8deae3079dc4eb2d634d18a99c,46,2026-06-23T20:00:00Z,Ghana,England,0.10161298699463796,0.18303965076651652,0.7153473622388455,0.7132917201273221,2.2100350017059656,2.9233267218332877,17
c1bc8c26480cd42b89a0de5329581314,47,2026-06-23T23:00:00Z,Croatia,Panama,0.6098332408675925,0.24406589537697337,0.14610086375543402,1.7978029059853622,0.7889638652165978,2.58676677120196,17
c1bc8c26480cd42b89a0de5329581314,47,2026-06-23T23:00:00Z,Panama,Croatia,0.14610086375543402,0.24406589537697337,0.6098332408675925,0.7889638652165978,1.7978029059853622,2.58676677120196,17
68bfc965eb267508e04d8e8d75c1a0ae,48,2026-06-24T02:00:00Z,Colombia,DR Congo,0.6370024278700289,0.2328636279786039,0.13013394415136728,1.7876725867960854,0.6849036051763704,2.472576191972456,17
68bfc965eb267508e04d8e8d75c1a0ae,48,2026-06-24T02:00:00Z,DR Congo,Colombia,0.13013394415136728,0.2328636279786039,0.6370024278700289,0.6849036051763704,1.7876725867960854,2.472576191972456,17
512ac18beb5aa936a59f7ea3e497ada2,49,2026-06-24T19:00:00Z,Bosnia & Herzegovina,Qatar,0.5832003134904657,0.2515577024462093,0.16524198406332494,1.7042735155586963,0.8094042360028024,2.5136777515614988,16
